% Model,scaling_cr.mph
% Version,COMSOL 5.3.1.180
% Date,"Aug 7 2018, 11:43"
% Table,Probe Table 3 - 
% Time (s),"Temperature (degC), TL_out_ave","Temperature (degC), TL_in_ave","Temperature (degC), TL_out_max","Temperature (degC), TL_in_max"
0,677.8381732391006,600.0000000001231,812.8688463095422,600
1,679.3274541197849,600.0000000001231,818.0864205373342,600
2,679.9395502108681,600.0000000001231,823.3233259278283,600
3,680.1735014543988,600.0000000001231,826.4754968558574,600
4,680.365996746388,600.0000000001231,829.3045192101521,600
5,680.4357010185221,600.0000000001231,830.5142155353955,600
6,680.5308906287199,600.0000000001231,831.642634497306,600
7,680.7841025014903,600.0000000001231,832.2670918161281,600
8,681.03731437426,600.0000000001231,833.212023739536,600
9,681.2905262470252,600.0000000001231,834.5761607253663,600
10,681.6035448902986,600.0000000001231,835.9040436219683,600
11,682.0075811257011,600.0000000001231,837.1767528337422,600
12,682.4116173611006,600.0000000001231,838.449462045516,600
13,682.8156535965038,600.0000000001231,839.7221712572899,600
14,683.4535292603969,600.0000000001231,840.987799235865,600
15,684.2150163720088,600.0000000001231,842.2496839556878,600
16,684.9765034836256,600.0000000001231,843.5115686755106,600
17,685.7379905952381,600.0000000001231,844.7734533953334,600
18,686.499477706852,600.0000000001231,846.0353381151564,600
19,687.260964818465,600.0000000001231,847.2972228349792,600
20,688.0224519300826,600.0000000001231,848.5591075548019,600
21,688.7922189018608,600.0000000001231,849.8079525508107,600
22,689.6025566292484,600.0000000001231,850.9929037808023,600
23,690.4128943566416,600.0000000001231,852.1778550107935,600
24,691.2232320840308,600.0000000001231,853.3628062407851,600
25,692.0335698114213,600.0000000001231,854.5477574707767,600
26,692.8439075388123,600.0000000001231,855.7327087007683,600
27,693.6542452662025,600.0000000001231,856.9176599307597,600
28,694.464582993592,600.0000000001231,858.102611160751,600
29,695.206119871232,600.0000000001231,859.0981855899919,600
30,695.9159891761,600.0000000001231,860.006593892039,600
31,696.6258584809639,600.0000000001231,860.9150021940862,600
32,697.3357277858272,600.0000000001231,861.8234104961333,600
33,698.045597090694,600.0000000001231,862.7318187981806,600
34,698.7554663955507,600.0000000001231,863.6402271002279,600
35,699.4653357004202,600.0000000001231,864.5486354022752,600
36,700.1752050052846,600.0000000001231,865.4570437043222,600
37,700.8850743101516,600.0000000001231,866.3654520063695,600
38,701.5949436150132,600.0000000001231,867.2738603084166,600
39,702.1181072668412,600.0000000001231,867.9113666081099,600
40,702.5553342641495,600.0000000001231,868.4241824583888,600
41,702.9925612614619,600.0000000001231,868.9369983086682,600
42,703.4297882587696,600.0000000001231,869.4498141589473,600
43,703.8670152560801,600.0000000001231,869.9626300092267,600
44,704.304242253391,600.0000000001231,870.4754458595058,600
45,704.7414692506998,600.0000000001231,870.988261709785,600
46,705.1786962480053,600.0000000001231,871.5010775600643,600
47,705.6159232453197,600.0000000001231,872.0138934103435,600
48,706.0531502426276,600.0000000001231,872.5267092606226,600
49,706.3323257836971,600.0000000001231,872.8381495240693,600
50,706.538753589646,600.0000000001231,873.0569008734254,600
51,706.745181395596,600.0000000001231,873.2756522227818,600
52,706.9516092015479,600.0000000001231,873.4944035721379,600
53,707.1580370074939,600.0000000001231,873.7131549214943,600
54,707.3644648134498,600.0000000001231,873.9319062708502,600
55,707.5708926193946,600.0000000001231,874.1506576202065,600
56,707.7773204253466,600.0000000001231,874.3694089695626,600
57,707.983748231299,600.0000000001231,874.588160318919,600
58,708.1901760372501,600.0000000001231,874.8069116682751,600
59,708.3414453750243,600.0000000001231,874.9655024131788,600
60,708.4673264390804,600.0000000001231,875.0964025070683,600
61,708.5932075031427,600.0000000001231,875.2273026009574,600
62,708.719088567201,600.0000000001231,875.3582026948469,600
63,708.8449696312599,600.0000000001231,875.4891027887364,600
64,708.9708506953241,600.0000000001231,875.6200028826257,600
65,709.0967317593805,600.0000000001231,875.7509029765152,600
66,709.2226128234382,600.0000000001231,875.8818030704045,600
67,709.3484938874998,600.0000000001231,876.0127031642941,600
68,709.4743749515595,600.0000000001231,876.1436032581834,600
69,709.5447148811813,600.0000000001231,876.2122874729345,600
70,709.5894904039171,600.0000000001231,876.2523350372991,600
71,709.6342659266485,600.0000000001231,876.2923826016632,600
72,709.6790414493843,600.0000000001231,876.3324301660278,600
73,709.7238169721198,600.0000000001231,876.3724777303922,600
74,709.7685924948527,600.0000000001231,876.4125252947566,600
75,709.8133680175886,600.0000000001231,876.452572859121,600
76,709.8581435403247,600.0000000001231,876.4926204234854,600
77,709.9029190630567,600.0000000001231,876.53266798785,600
78,709.9476945857907,600.0000000001231,876.5727155522142,600
79,709.9583238500124,600.0000000001231,876.5773217810898,600
80,709.9532363152317,600.0000000001231,876.5656151144846,600
81,709.9481487804535,600.0000000001231,876.5539084478788,600
82,709.943061245672,600.0000000001231,876.5422017812735,600
83,709.9379737108922,600.0000000001231,876.5304951146683,600
84,709.9328861761111,600.0000000001231,876.518788448063,600
85,709.9277986413339,600.0000000001231,876.5070817814573,600
86,709.9227111065522,600.0000000001231,876.495375114852,600
87,709.9176235717746,600.0000000001231,876.4836684482467,600
88,709.9125360369918,600.0000000001231,876.4719617816412,600
89,709.8876473132773,600.0000000001231,876.4352330302219,600
90,709.8536445220147,600.0000000001231,876.3869871435517,600
91,709.8196417307533,600.0000000001231,876.3387412568815,600
92,709.7856389394926,600.0000000001231,876.2904953702113,600
93,709.7516361482285,600.0000000001231,876.2422494835411,600
94,709.7176333569672,600.0000000001231,876.1940035968709,600
95,709.6836305657071,600.0000000001231,876.1457577102009,600
96,709.6496277744475,600.0000000001231,876.0975118235307,600
97,709.6156249831864,600.0000000001231,876.0492659368605,600
98,709.5816221919184,600.0000000001231,876.0010200501903,600
99,709.5596832141223,600.0000000001231,875.9645578421733,600
100,709.5432969539413,600.0000000001231,875.9335194116633,600
