% Model,OC_transient.mph
% Version,COMSOL 5.3.1.180
% Date,"Feb 12 2018, 14:01"
% Table,Table 1 - 
% Time (s),"Temperature (W), Probe Pint","Temperature (degC), average_fuel_temp_probe","Temperature (degC), average_flibe_temp_probe","Temperature (degC), max fuel temp","Temperature (degC), max flibe temp"
0,1.000000105649119E7,698.3283258012856,683.3445815696592,714.2376942294676,707.4901966433322
1,1.0000502526450815E7,698.3284430802755,683.3448051448121,714.2377858991978,707.4902039282645
2,1.00005875846554E7,698.3286234150976,683.3450164332688,714.2379153381191,707.490226955386
3,1.0000656309437497E7,698.3288281143871,683.3452216827541,714.238060373108,707.4902601079336
4,1.0000709600654988E7,698.3290616190791,683.3454160827899,714.2382416861577,707.4903215350557
5,1.0000759033481339E7,698.3293023251213,683.345607770463,714.2384320687227,707.4903900308212
6,1.0000808466307692E7,698.3295430311642,683.345799458135,714.2386224512875,707.4904585265867
7,9994319.348804422,698.2593452171457,682.9301082799714,714.2359842773925,707.4907441821118
8,9983471.197748054,698.1421883897534,682.2371618579175,714.231460399191,707.4911746108097
9,9972623.046691706,698.0250315623623,681.5442154358624,714.2269365209895,707.4916050395076
10,9961774.89563534,697.9078747349697,680.8512690138093,714.2224126427881,707.4920354682057
11,9950926.744579012,697.79071790758,680.1583225917547,714.2178887645865,707.4924658969036
12,9940078.59352265,697.6735610801882,679.4653761697017,714.2133648863851,707.4928963256015
13,9927068.014506185,697.4671253848553,678.4732381352038,714.2078516140014,707.4939126936661
14,9905407.723649323,696.9035742177574,676.284333650924,714.1983807648894,707.497272819197
15,9883747.432792408,696.3400230506604,674.095429166647,714.1889099157773,707.500632944728
16,9862087.141935512,695.7764718835654,671.9065246823691,714.1794390666653,707.503993070259
17,9840426.85107862,695.2129207164671,669.7176201980901,714.1699682175532,707.50735319579
18,9818766.560221726,694.649369549371,667.5287157138132,714.1604973684412,707.510713321321
19,9797106.269364815,694.0858183822734,665.3398112295354,714.1510265193291,707.5140734468519
20,9815152.38707462,693.0631334091323,663.203603414865,714.1508710305544,707.5207945537755
21,9843125.106926082,691.9256649844775,661.0805697675975,714.1530443818642,707.5283559060474
22,9871097.826777555,690.788196559825,658.957536120329,714.155217733174,707.5359172583192
23,9899070.546629023,689.6507281351705,656.8345024730603,714.1573910844837,707.543478610591
24,9927043.266480487,688.5132597105178,654.7114688257913,714.1595644357934,707.5510399628628
25,9955015.986331958,687.375791285864,652.5884351785235,714.1617377871032,707.5586013151345
26,1.0013765156935794E7,686.0892773839486,650.5503571240948,714.159310857454,707.5617315820077
27,1.011867900366823E7,684.5791952661382,648.639712458926,714.1499835063663,707.5582152207826
28,1.0223592850400642E7,683.0691131483275,646.7290677937622,714.1406561552787,707.5546988595577
29,1.0328506697133066E7,681.5590310305181,644.8184231285941,714.1313288041911,707.5511824983328
30,1.0433420543865476E7,680.048948912707,642.9077784634279,714.1220014531034,707.5476661371077
31,1.0538334390597908E7,678.5388667948973,640.9971337982611,714.1126741020157,707.5441497758828
32,1.0694147103403434E7,676.9406983226668,639.1899522985159,714.0716205964975,707.5187904728782
33,1.0878590428375097E7,675.2929812760751,637.4409688293212,714.0127211291122,707.4811445151225
34,1.1063033753346743E7,673.6452642294826,635.691985360126,713.9538216617269,707.443498557367
35,1.1247477078318397E7,671.9975471828908,633.9430018909311,713.8949221943416,707.4058525996114
36,1.1436348847736914E7,670.3502772357434,632.2018946833459,713.831164055554,707.3647624954157
37,1.1705758732946144E7,668.711138483924,630.6040294825452,713.6790434579689,707.2610352579977
38,1.1975168618155366E7,667.071999732104,629.0061642817442,713.5269228603836,707.1573080205798
39,1.2244578503364595E7,665.4328609802853,627.4082990809429,713.4518284144567,707.0535807831618
40,1.2513988388573816E7,663.793722228466,625.8104338801397,713.4214020404627,706.949853545744
41,1.2864481261203352E7,662.2517831900537,624.3497766522363,713.3249028343316,706.7562932353516
42,1.3221735732182546E7,660.7179497412682,622.9005613461526,713.222893742996,706.5552416474754
43,1.3578990203161707E7,659.1841162924828,621.4513460400697,713.1208846516604,706.3541900595994
44,1.39556780611832E7,657.6889102052847,620.0367076255783,712.997290220921,706.1247232151508
45,1.440688407185033E7,656.3418223859319,618.7546557787294,712.790925884292,705.7862968557121
46,1.4858090082517449E7,654.9947345665809,617.472603931881,712.5845615476632,705.4478704962735
47,1.5309296093184547E7,653.6476467472293,616.1905520850318,712.3781972110345,705.1094441368349
48,1.5803461579921165E7,652.4096650260075,614.9904028892042,712.1172507994731,704.6973270863723
49,1.6342221725643158E7,651.2849423499251,613.8752738362302,711.7996447346521,704.2087144280191
50,1.688098187136515E7,650.1602196738436,612.7601447832557,711.4820386698311,703.7201017696659
51,1.7431407730400667E7,649.073660747754,611.6715088712494,711.1478239717295,703.2077520204058
52,1.8050016837084122E7,648.2101596276498,610.7377189033351,710.7165358649443,702.5566647671246
53,1.8668625943767555E7,647.346658507546,609.8039289354208,710.285247758159,701.9055775138436
54,1.9287235050450988E7,646.4831573874409,608.8701389675055,709.8539596513739,701.2544902605625
55,1.9956957480097298E7,645.8466171424318,608.0893292976717,709.3444441128173,700.4797924637712
56,2.0639336072693996E7,645.2662746488496,607.3463990586488,708.8155586905142,699.6744874771055
57,2.132171466529071E7,644.6859321552677,606.603468819624,708.2866732682112,698.8691824904396
58,2.201127068486303E7,644.1630485120344,605.8992170673495,707.7485388734465,698.0426821564321
59,2.271537559944718E7,643.7566359640888,605.2733679578121,707.1916564886616,697.1732181135271
60,2.342774382846777E7,643.4163753323116,604.6920490816035,706.6241258356431,696.2793520362624
61,2.4148375371924978E7,643.1422666166993,604.1552604387284,706.0459469143907,695.3610839246373
62,2.4877270229818583E7,642.9343098172548,603.6630020291826,705.4571197249045,694.4184137786523
63,2.561442840214876E7,642.7925049339775,603.2152738529686,704.8576442671847,693.4513415983074
64,2.6359849888915498E7,642.7168519668666,602.8120759100858,704.2475205412311,692.4598673836023
65,2.7080813265302937E7,642.722139350968,602.4710473152215,703.6592451700652,691.4789864830808
66,2.779004359188868E7,642.8026160001708,602.1853283792229,703.080180516456,690.495089528182
67,2.8496107662481386E7,642.9544101553907,601.9503010067775,702.5018186419355,689.4990143892946
68,2.9199005477080945E7,643.1775218166272,601.7659651978846,701.9241595465041,688.4907610664186
69,2.9898737035687324E7,643.4719509838794,601.6323209525472,701.3472032301617,687.4703295595541
70,3.0595302338300593E7,643.837697657149,601.5493682707627,700.7709496929082,686.437719868701
71,3.1284515344396796E7,644.270078698651,601.5151510848244,700.201402618627,685.4011165394802
72,3.1913087915790237E7,644.7094779408014,601.5047687264985,699.7149886769994,684.4647085293425
73,3.2522777710340504E7,645.2026118126897,601.537733860704,699.2518183910692,683.5468512737353
74,3.3113584728047863E7,645.7494803143156,601.6140464874421,698.8118917608365,682.6475447726585
75,3.368550896891212E7,646.3500834456822,601.7337066067105,698.3952087863009,681.7667890261123
76,3.423855043293334E7,647.0044212067853,601.8967142185118,698.0017694674629,680.9045840340963
77,3.4772709120111555E7,647.7124935976273,602.1030693228439,697.631573804322,680.0609297966109
78,3.527727055218724E7,648.4397787427314,602.333878707569,697.3123430977735,679.2779120085715
79,3.574076218164014E7,649.1493122797369,602.5689124306592,697.0737599822987,678.6005940060677
80,3.617760051499694E7,649.8875439592612,602.8335916194416,697.1939322579032,677.972348795164
81,3.6587785552257754E7,650.6544737813008,603.1279162739174,697.4790745973768,677.39317637586
82,3.6971317293422505E7,651.450101745856,603.4518863940865,697.8236574204066,676.8630767481558
83,3.7328195738491304E7,652.2744278529293,603.8055019799483,698.2276807269924,676.3820499120515
84,3.7658420887463905E7,653.1274521025177,604.1887630315039,698.691144517134,675.950095867547
85,3.796668671305984E7,653.9497882752029,604.561616110508,699.1988485996105,675.6150716865986
86,3.825184870890118E7,654.7559161966979,604.9338272335665,699.7544991561225,675.3653086341393
87,3.8512171140393235E7,655.5677956698519,605.3202073385675,700.3637169048394,675.1831101489896
88,3.874765400753603E7,656.3854266946669,605.7207564255121,701.026501845761,675.0684762311495
89,3.8958297310329475E7,657.2088092711425,606.1354744944015,701.7428539788879,675.0214068806192
90,3.914410104877346E7,658.0379433992771,606.5643615452353,702.5127733042193,675.0419020973986
91,3.930542506483602E7,658.8721095633954,607.0067998878105,703.3353194665057,675.1297575594866
92,3.9478130230210856E7,659.6396027883521,607.4012321968402,704.116779219389,675.2646110920432
93,3.963548276951639E7,660.3938781244218,607.7935485923807,704.9270144697355,675.4616424099704
94,3.9777482682752565E7,661.1349355716047,608.1837490744315,705.8675919813363,675.7208515132685
95,3.9904129969919324E7,661.8627751298998,608.5718336429929,706.9809456215146,676.0422384019371
96,4.001542463101671E7,662.577396799307,608.9578022980661,708.0902183713049,676.4258030759765
97,4.01113666660447E7,663.2788005798297,609.3416550396481,709.195410230707,676.943717338363
98,4.0191956075003356E7,663.966986471462,609.7233918677413,710.2965211997209,677.6090250898128
99,4.0257192857892685E7,664.6419544742098,610.1030127823443,711.3935512783463,678.331268417103
100,4.030707701471259E7,665.3037045880684,610.4805177834586,712.4865004665838,679.1104473202334
